project_name,regionus,regionca,regioneu,regionaunz,regionchina,sector,project_contact_point,multi_brand,brandnames,multi_site,project_notes,last_served_year,client_base,practice,domain
Movado,t,t,f,f,f,Retail,Anuj Jain,t,"Concord, Ebel,  Movado",t,us and ca served by single site,2019,External,SFCC,Ecommerce
POC,t,f,f,f,f,Retail,Anuj,f,,f,,,Internal,SFCC,Ecommerce
Diesel,t,f,f,f,f,Retail,Anuj Jain,f,,f,,2015,External,SFCC,Ecommerce
IBM Sterling,t,f,f,f,f,Retail,Anuj Jain,f,,f,,2020,Link Partner,SFCC,Ecommerce
Tapestry | Coach,t,t,t,f,f,Retail,Anuj Jain,t,"Coach, Katspade, Stuart Weitzman",t,separate site per region and brand,,External,SFCC,Ecommerce
Sothern Glazer's,t,f,f,f,f,FMCG,Anuj Jain,f,,f,,2018,External,SFCC,Ecommerce
TPC,t,f,f,f,f,Retail,Anuj Jain,t,"Proactiv+, xout",f,,2018,External,SFCC,Ecommerce
TCP,t,f,f,f,f,Retail,,f,,f,,,External,SFCC,Ecommerce
Worldpay,t,f,f,f,f,Retail,Anuj Jain,f,,f,,,Link Partner,SFCC,Ecommerce
MCM,t,t,t,f,t,Retail,Hemant Arora,t,,t,,2019,External,SFCC,Ecommerce
Loreal,t,f,f,f,f,FMCG,,f,,f,,,External,SFCC,Ecommerce
Abercrombie & Fitch,t,f,f,f,f,Retail,Nishant Gupta,f,,f,,,External,SFCC,Ecommerce
M&S International,t,f,f,f,f,Retail,Anuj Jain,f,,t,separate site per region,,External,SFCC,Ecommerce
GR & WBCD,t,f,f,f,f,Retail,,f,,f,,,External,SFCC,Ecommerce
SHISEDO | BARE | BUXOM,t,f,f,f,f,Retail,,f,,f,,,External,SFCC,Ecommerce
Carters,t,f,f,f,f,Retail,,f,,f,,,External,SFCC,Ecommerce
Godiva,t,f,f,f,f,Retail,,f,,f,,,External,SFCC,Ecommerce
L.L. Bean,t,f,f,f,f,Retail,,f,,f,,,External,SFCC,Ecommerce
Marc Jacobs,t,f,f,f,f,Retail,,f,,f,,,External,SFCC,Ecommerce
Moet Hennessy,t,t,t,t,f,Retail,Anuj Jain,f,,t,,2015,External,SFCC,Ecommerce
Petsmart,t,f,f,f,f,Retail,,f,,f,,,External,SFCC,Ecommerce
Cybersource,t,f,f,f,f,Retail,Anuj Jain,f,,f,,2017,Link Partner,SFCC,Ecommerce
Beats,t,f,f,f,f,Retail,,f,,f,,,External,SFCC,Ecommerce
Carol's Daughter,t,f,f,f,f,Retail,,f,,f,,,External,SFCC,Ecommerce
Crabtree,t,f,f,f,f,Retail,,f,,f,,,External,SFCC,Ecommerce
EYS,t,f,f,f,f,Retail,,f,,f,,,External,SFCC,Ecommerce
MHAP,t,f,f,f,f,Retail,,f,,f,,,External,SFCC,Ecommerce
Michaels,t,f,f,f,f,Retail,,f,,f,,,External,SFCC,Ecommerce
New Balance,t,f,f,f,f,Retail,,f,,f,,,External,SFCC,Ecommerce
Nivea,t,f,f,f,f,Retail,,f,,f,,,External,SFCC,Ecommerce
SaksOff5th,t,f,f,f,f,Retail,,f,,f,,,External,SFCC,Ecommerce
NYX,t,f,f,f,f,Retail,,f,,f,,,External,SFCC,Ecommerce
VSP,t,f,f,f,f,Retail,,f,,f,,,External,SFCC,Ecommerce
SessionM,t,f,f,f,f,Retail,,f,,f,,,Internal,SFCC,Ecommerce
Goodyear,t,f,f,f,f,Retail,,f,,f,,,External,SFCC,Ecommerce
ASDA,t,f,f,f,f,Retail,,f,,f,,,External,SFCC,Ecommerce
Langtons,f,f,f,t,f,Retail,senthilkumar,t,Langtons,f,Langtons,2023,External,Salesforce B2C,eCommerce
Ariat International,t,f,t,f,f,Retail,senthilkumar,t,Ariat International,t,Ariat International,2023,External,Salesforce B2C,eCommerce
Gamestop,t,f,f,f,f,Retail,Bhanu,f,Gamestop,f,Gamestop,2022,External,Salesforce B2C,eCommerce
endeavour,f,f,f,t,f,Retail,Bhanu,t,"dan murphy, BWS, langtons",t,endeavour,2023,External,Salesforce B2C,eCommerce
Tumi,t,t,f,f,f,Retail,Bhanu,f,Tumi,t,Tumi,2023,External,Salesforce B2C,eCommerce
Pandora,t,t,t,t,t,Retail,Anita Mani,f,Pandora,t,"27 countries uc, ca, itally, au, singore, japan, switzlerland,",2023,External,Salesforce B2C,eCommerce
PVH,t,t,f,f,f,Retail,Rachit Goel,t,"Tommy, Calivn",t,PVH,2023,External,Salesforce B2C,eCommerce
M&S India,f,f,f,f,f,Retail,Rachit Goel,f,M&S,f,India,2021,External,Salesforce B2C,eCommerce
cigora,t,f,f,f,f,Retail,Suman,f,cigora,f,cigora,2021,External,Salesforce B2C,eCommerce
